tag,release_datetime
v1.0.418,2024-09-19T10:30:19
v1.0.419,2024-09-26T09:29:23
v1.0.421,2024-10-03T10:01:19
v1.0.422,2024-10-10T09:41:58
v1.0.423,2024-10-15T09:07:37
v1.0.424,2024-10-17T08:28:02
v1.0.425,2024-10-24T09:09:30
v1.0.426,2024-10-31T10:30:22
v1.0.427,2024-11-07T14:05:36
v1.0.428,2024-11-15T11:38:49
v1.0.429,2024-11-22T11:19:32
v1.0.430,2024-11-28T10:51:04
v1.0.431,2024-12-05T10:49:47
v1.0.432,2025-01-08T15:11:43
v1.0.433,2025-01-16T09:30:28
v1.0.434,2025-01-28T10:03:22
v1.0.435,2025-02-04T13:28:08
v1.0.436,2025-02-07T10:12:38
v1.0.437,2025-02-13T10:02:42
v1.1.0,2025-02-26T10:37:07
v1.1.1,2025-03-06T09:02:15
v1.1.2,2025-03-13T09:09:44
v1.1.3,2025-03-20T09:43:56
v1.1.4,2025-03-27T11:29:23
v1.1.5,2025-04-03T09:52:24
v1.1.6,2025-04-11T08:18:41
v1.1.7,2025-04-24T10:10:48
v1.1.8,2025-05-08T09:36:33
v1.1.9,2025-05-15T15:15:45
v1.2.0,2025-05-29T09:27:37
v1.2.1,2025-06-09T11:18:06
v1.2.3,2025-06-13T09:14:12
v1.3.0,2025-06-20T15:09:39
v1.3.1,2025-07-07T13:10:22
v1.3.2,2025-07-14T08:21:53
v1.3.3,2025-07-17T08:37:33
v1.3.4,2025-07-23T15:15:24
v1.3.5,2025-07-24T09:37:46
v1.3.6,2025-07-31T10:13:39
v1.3.7,2025-08-08T10:42:49
v1.3.8,2025-08-13T22:56:27
v1.3.9,2025-08-27T11:39:30
v1.3.10,2025-09-01T14:35:28
v1.3.11,2025-09-03T12:15:02
v1.4.1,2025-09-11T11:23:30
v1.4.2,2025-09-17T10:37:05
v1.4.3,2025-10-01T11:53:09
v1.4.4,2025-10-01T13:45:07
v1.4.5,2025-10-08T14:13:37
v1.4.6,2025-10-16T13:33:27
v1.4.7,2025-10-23T10:12:42
v1.4.9,2025-10-29T14:15:36
v1.4.10,2025-11-05T12:39:08
v1.4.13,2025-11-13T09:55:00
v1.4.15,2025-11-20T11:31:44
v1.4.16,2025-11-26T15:53:11
v1.4.17,2025-12-03T12:20:44
v1.4.18,2025-12-10T12:21:17
v1.5.0,2025-12-16T10:52:44
v1.6.0,2026-01-07T15:28:34
v1.6.1,2026-01-14T14:56:34
v1.6.2,2026-01-21T10:29:55
v1.6.3,2026-01-23T10:00:46
v1.6.4,2026-01-28T16:36:55
v1.6.5,2026-01-29T10:50:30
v1.7.0,2026-02-04T15:36:27
v1.7.2,2026-02-11T12:46:47
v1.8.0,2026-02-19T07:35:07
