tag,release_datetime
v1.0.415,2024-09-06T09:48:24
v1.0.416,2024-09-09T11:27:10
v1.0.417,2024-09-12T09:54:56
v1.0.418,2024-09-19T10:28:16
v1.0.419,2024-09-26T09:32:09
v1.0.421,2024-10-03T10:04:21
v1.0.422,2024-10-10T09:44:51
v1.0.423,2024-10-15T09:10:36
v1.0.424,2024-10-17T08:31:22
v1.0.425,2024-10-24T09:12:54
v1.0.426,2024-10-31T10:33:34
v1.0.427,2024-11-07T14:08:39
v1.0.428,2024-11-15T11:41:53
v1.0.429,2024-11-22T11:22:40
v1.0.430,2024-11-28T10:54:11
v1.0.431,2024-12-05T10:52:19
v1.0.432,2025-01-08T15:14:36
v1.0.433,2025-01-16T09:33:22
v1.0.434,2025-01-28T10:06:21
v1.0.435,2025-02-04T13:31:17
v1.0.436,2025-02-07T10:15:29
v1.0.437,2025-02-13T10:05:49
v1.1.0,2025-02-26T10:40:16
v1.1.1,2025-03-06T09:05:11
v1.1.2,2025-03-13T09:12:35
v1.1.3,2025-03-20T09:49:22
v1.1.4,2025-03-27T11:32:25
v1.1.5,2025-04-03T09:55:37
v1.1.6,2025-04-11T08:21:35
v1.1.7,2025-04-24T10:11:44
v1.1.8,2025-05-08T09:39:22
v1.1.9,2025-05-15T15:18:50
v1.2.0,2025-05-29T09:31:03
v1.2.1,2025-06-09T11:19:41
v1.2.3,2025-06-13T09:17:19
v1.3.0,2025-06-20T15:12:10
v1.3.1,2025-07-07T13:13:19
v1.3.2,2025-07-14T08:24:54
v1.3.3,2025-07-17T08:40:23
v1.3.4,2025-07-23T15:18:29
v1.3.5,2025-07-24T09:40:41
v1.3.6,2025-07-31T10:16:47
v1.3.7,2025-08-08T10:49:24
v1.3.8,2025-08-13T22:59:41
v1.3.9,2025-08-27T11:28:55
v1.3.10,2025-09-01T14:38:49
v1.3.11,2025-09-03T12:22:34
v1.4.1,2025-09-11T11:34:09
v1.4.2,2025-09-17T10:40:41
v1.4.3,2025-10-01T11:56:11
v1.4.4,2025-10-01T13:48:27
v1.4.5,2025-10-08T12:05:42
v1.4.6,2025-10-16T13:36:12
v1.4.7,2025-10-23T10:15:47
v1.4.9,2025-10-29T14:18:49
v1.4.10,2025-11-05T12:42:16
v1.4.13,2025-11-13T09:57:46
v1.4.15,2025-11-20T11:34:37
v1.4.16,2025-11-26T15:56:07
v1.4.17,2025-12-03T12:23:56
v1.4.18,2025-12-10T12:24:18
v1.5.0,2025-12-16T10:56:04
v1.6.0,2026-01-07T15:31:32
v1.6.1,2026-01-14T14:59:37
v1.6.2,2026-01-21T10:33:08
v1.6.3,2026-01-23T10:03:52
v1.6.4,2026-01-28T16:40:00
v1.6.5,2026-01-29T10:53:46
v1.7.0,2026-02-04T15:39:16
v1.7.2,2026-02-11T12:50:07
v1.8.0,2026-02-19T07:38:18
