tag,release_datetime
a2160ea8,2025-10-01T10:48:27
v1.4.3,2025-10-01T11:50:05
v1.4.4,2025-10-01T13:30:51
c4a7c927,2025-10-03T14:08:40
10a68996,2025-10-05T08:22:45
f3db1937,2025-10-06T16:32:52
v1.4.5,2025-10-08T11:49:38
v1.4.6,2025-10-16T13:23:08
v1.4.7,2025-10-23T09:59:56
1e58c40,2025-10-29T10:28:23
603a0096,2025-10-29T10:42:01
v1.4.8,2025-10-29T13:44:38
v1.4.9,2025-10-29T14:10:07
8fa6919,2025-11-03T14:45:31
v1.4.10,2025-11-05T12:21:53
v1.4.11,2025-11-06T12:30:02
v1.4.12,2025-11-06T16:06:17
128b406,2025-11-07T11:38:02
v1.4.13,2025-11-13T09:49:13
8f75512,2025-11-18T09:20:54
b7568b9,2025-11-18T10:43:06
v1.4.15,2025-11-20T11:27:11
