tag,release_datetime
v1.0.415,2024-09-06T09:43:21
367e78a,2024-09-06T11:00:03
v1.0.416,2024-09-09T11:08:55
v1.0.417,2024-09-12T09:49:40
4774769,2024-09-16T07:42:46
v1.0.418,2024-09-19T09:00:23
v1.0.419,2024-09-26T09:21:26
v1.0.421,2024-10-03T09:00:39
v1.0.422,2024-10-10T09:37:52
v1.0.423,2024-10-11T10:49:35
v1.0.424,2024-10-17T08:24:36
f29cb50,2024-10-23T09:08:14
v1.0.425,2024-10-24T09:01:13
72dbac6,2024-10-24T14:31:25
f09e033,2024-10-24T14:58:26
v1.0.426,2024-10-31T10:20:49
0e98cf9,2024-11-05T14:03:08
v1.0.427,2024-11-07T13:56:31
v1.0.428,2024-11-15T11:35:18
1e11d8d,2024-11-19T15:10:15
v1.0.429,2024-11-21T14:01:28
d4c45da,2024-11-22T11:35:29
30bb085,2024-11-25T11:10:43
v1.0.430,2024-11-28T10:15:25
v1.0.431,2024-12-05T10:08:40
v1.0.432,2025-01-08T15:02:46
v1.0.433,2025-01-16T09:15:48
v1.0.434,2025-01-23T11:01:47
v1.0.435,2025-02-04T13:22:10
v1.0.436,2025-02-07T10:05:01
v1.0.437,2025-02-13T09:41:28
b401dd66,2025-02-26T08:13:15
v1.1.0,2025-02-26T10:19:32
v1.1.1,2025-03-06T08:47:48
d4cfcee3,2025-03-11T10:31:19
v1.1.2,2025-03-13T09:06:38
f7d8bbdb,2025-03-18T14:22:31
v1.1.3,2025-03-20T09:32:46
v1.1.4,2025-03-27T11:26:21
a5a9eb01,2025-04-02T08:32:25
v1.1.5,2025-04-03T09:43:17
v1.1.6,2025-04-11T07:29:21
9abeda75,2025-04-16T12:28:44
v1.1.7,2025-04-24T10:02:08
d3e663f1,2025-04-28T14:04:08
bdab252a,2025-05-02T08:46:10
v1.1.8,2025-05-08T09:24:51
v1.1.9,2025-05-15T15:09:33
v1.2.0,2025-05-29T09:23:18
2554ba78,2025-06-04T17:25:38
v1.2.1,2025-06-09T11:15:12
v1.2.3,2025-06-13T09:08:27
v1.3.0,2025-06-20T15:06:24
dbec68fd,2025-07-01T10:39:00
v1.3.1,2025-07-07T12:47:59
v1.3.2,2025-07-14T08:08:15
v1.3.3,2025-07-17T08:34:43
v1.3.4,2025-07-23T14:31:10
v1.3.5,2025-07-24T09:35:12
v1.3.6,2025-07-31T10:02:54
4599c8a3,2025-08-01T11:31:53
9184d873,2025-08-04T11:58:46
v1.3.7,2025-08-08T10:39:46
v1.3.8,2025-08-13T22:43:30
v1.3.9,2025-08-27T10:58:55
5eb5aacb,2025-09-01T11:20:35
v1.3.10,2025-09-01T14:30:34
v1.3.11,2025-09-03T12:03:19
281ae99a,2025-09-10T12:29:00
v1.4.1,2025-09-11T11:16:29
5a0bec30,2025-09-12T13:20:16
v1.4.2,2025-09-17T10:21:41
f8303f18,2025-10-01T10:02:00
a2160ea8,2025-10-01T10:50:29
v1.4.3,2025-10-01T11:50:32
v1.4.4,2025-10-01T13:32:16
c4a7c927,2025-10-03T14:10:23
10a68996,2025-10-05T08:24:08
f3db1937,2025-10-06T16:34:21
v1.4.5,2025-10-08T11:51:21
v1.4.6,2025-10-16T13:24:39
v1.4.7,2025-10-23T10:01:36
1e58c40,2025-10-29T10:29:45
603a0096,2025-10-29T10:43:31
v1.4.8,2025-10-29T13:46:06
v1.4.9,2025-10-29T14:11:33
8fa6919,2025-11-03T14:45:18
v1.4.10,2025-11-05T12:23:16
v1.4.11,2025-11-06T12:31:16
v1.4.12,2025-11-06T16:07:15
128b406,2025-11-07T11:39:31
v1.4.13,2025-11-13T09:50:17
8f75512,2025-11-18T09:21:45
b7568b9,2025-11-18T10:44:34
v1.4.15,2025-11-20T11:28:19
9c268d3,2025-11-24T15:20:10
v1.4.16,2025-11-26T15:47:08
51369b2,2025-11-27T13:15:39
v1.4.17,2025-12-03T12:16:11
v1.4.18,2025-12-10T11:44:19
v1.5.0,2025-12-16T10:47:35
v1.6.0,2026-01-07T15:21:51
v1.6.1,2026-01-14T14:40:17
v1.6.2,2026-01-21T10:05:31
v1.6.3,2026-01-23T09:20:02
v1.6.4,2026-01-28T16:20:33
v1.6.5,2026-01-29T10:31:04
v1.7.0,2026-02-04T15:09:41
v1.7.2,2026-02-11T12:25:01
v1.8.0,2026-02-19T07:20:30
