tag,release_datetime
v1.0.415,2024-09-06T09:42:20
v1.0.416,2024-09-09T11:08:10
v1.0.417,2024-09-12T09:48:49
v1.0.418,2024-09-19T08:59:02
v1.0.419,2024-09-26T09:20:21
aa1bd72,2024-09-30T12:03:08
v1.0.421,2024-10-03T08:59:12
v1.0.422,2024-10-10T09:37:30
v1.0.423,2024-10-11T10:48:29
v1.0.424,2024-10-17T08:23:12
f29cb50,2024-10-23T09:07:03
v1.0.425,2024-10-24T08:59:57
v1.0.426,2024-10-31T10:19:27
0e98cf9,2024-11-05T14:09:29
v1.0.427,2024-11-07T13:55:18
v1.0.428,2024-11-19T10:25:24
v1.0.429,2024-11-21T14:03:52
d4c45da,2024-11-22T11:34:32
v1.0.430,2024-11-28T10:14:58
v1.0.431,2024-12-05T10:07:15
v1.0.432,2025-01-08T15:01:31
v1.0.433,2025-01-16T09:14:21
v1.0.434,2025-01-23T11:00:31
v1.0.435,2025-02-04T13:20:43
v1.0.436,2025-02-07T10:03:38
v1.0.437,2025-02-13T09:40:14
b401dd66,2025-02-26T08:12:48
v1.1.0,2025-02-26T10:17:49
v1.1.1,2025-03-06T08:46:18
v1.1.2,2025-03-13T09:05:06
f7d8bbdb,2025-03-18T14:21:32
v1.1.3,2025-03-20T09:31:44
v1.1.4,2025-03-27T11:25:21
a5a9eb01,2025-04-02T08:31:54
v1.1.5,2025-04-03T09:42:11
v1.1.6,2025-04-11T07:28:08
9abeda75,2025-04-16T12:27:20
v1.1.7,2025-04-24T10:04:51
d3e663f1,2025-04-28T14:02:46
bdab252a,2025-05-02T08:42:11
v1.1.8,2025-05-08T09:23:35
v1.1.9,2025-05-15T15:08:19
v1.2.0,2025-05-29T09:21:46
2554ba78,2025-06-04T17:24:33
v1.2.1,2025-06-09T11:13:30
v1.2.3,2025-06-13T09:07:14
v1.3.0,2025-06-20T15:07:24
dbec68fd,2025-07-01T10:37:38
v1.3.1,2025-07-07T12:46:24
v1.3.2,2025-07-14T08:06:51
v1.3.3,2025-07-17T08:33:25
v1.3.4,2025-07-23T14:42:48
v1.3.5,2025-07-24T09:34:15
v1.3.6,2025-07-31T10:01:54
4599c8a3,2025-08-01T11:23:31
9184d873,2025-08-04T11:57:29
v1.3.7,2025-08-08T10:35:51
v1.3.8,2025-08-13T22:42:06
v1.3.9,2025-08-27T11:00:33
5eb5aacb,2025-09-01T11:18:56
v1.3.10,2025-09-01T14:28:56
v1.3.11,2025-09-03T11:59:05
v1.4.1,2025-09-11T11:12:01
v1.4.2,2025-09-17T10:20:26
f8303f18,2025-10-01T10:01:02
a2160ea8,2025-10-01T10:49:03
v1.4.3,2025-10-01T11:48:54
v1.4.4,2025-10-01T13:30:55
10a68996,2025-10-05T08:42:40
f3db1937,2025-10-06T16:33:01
v1.4.5,2025-10-08T11:49:57
v1.4.6,2025-10-16T13:23:26
v1.4.7,2025-10-23T10:00:13
v1.4.8,2025-10-29T13:44:45
v1.4.9,2025-10-29T14:10:10
v1.4.10,2025-11-05T12:22:13
128b406,2025-11-07T11:38:05
v1.4.13,2025-11-13T09:49:12
v1.4.15,2025-11-20T11:27:09
9c268d3,2025-11-24T15:19:34
v1.4.16,2025-11-26T15:45:48
51369b2,2025-11-27T13:14:24
v1.4.17,2025-12-03T12:14:41
v1.4.18,2025-12-10T11:42:55
v1.5.0,2025-12-16T10:46:11
v1.6.0,2026-01-07T15:20:25
v1.6.1,2026-01-14T14:38:59
v1.6.4,2026-01-28T20:01:42
v1.6.5,2026-01-29T10:29:44
v1.7.0,2026-02-04T15:09:11
v1.7.2,2026-02-11T12:23:35
