tag,release_datetime
v1.0.415,2024-09-06T09:41:54
v1.0.416,2024-09-09T11:07:42
v1.0.417,2024-09-12T09:48:32
v1.0.418,2024-09-19T08:58:47
v1.0.419,2024-09-26T09:19:52
aa1bd72,2024-09-30T12:02:45
v1.0.421,2024-10-03T08:58:57
v1.0.422,2024-10-10T09:36:15
v1.0.423,2024-10-11T10:48:06
v1.0.424,2024-10-17T08:22:46
f29cb50,2024-10-23T09:06:37
v1.0.425,2024-10-24T08:59:35
v1.0.426,2024-10-31T10:19:00
0e98cf9,2024-11-05T14:09:09
v1.0.427,2024-11-07T13:55:02
v1.0.428,2024-11-19T10:25:05
v1.0.429,2024-11-21T14:03:31
d4c45da,2024-11-22T11:33:54
v1.0.430,2024-11-28T10:13:37
v1.0.431,2024-12-05T10:46:30
v1.0.432,2025-01-08T15:01:07
v1.0.433,2025-01-16T09:13:57
v1.0.434,2025-01-23T11:00:10
v1.0.435,2025-02-04T13:20:17
v1.0.436,2025-02-07T10:03:18
v1.0.437,2025-02-13T09:39:52
b401dd66,2025-02-26T08:11:28
v1.1.0,2025-02-26T10:17:50
v1.1.1,2025-03-06T08:45:59
v1.1.2,2025-03-13T09:04:57
f7d8bbdb,2025-03-18T14:21:05
v1.1.3,2025-03-20T09:31:18
v1.1.4,2025-03-27T11:24:50
a5a9eb01,2025-04-02T08:30:37
v1.1.5,2025-04-03T09:42:04
v1.1.6,2025-04-11T07:27:32
9abeda75,2025-04-16T12:26:58
v1.1.7,2025-04-24T10:04:27
d3e663f1,2025-04-28T14:02:19
bdab252a,2025-05-02T08:41:52
v1.1.8,2025-05-08T09:23:08
v1.1.9,2025-05-15T15:07:58
v1.2.0,2025-05-29T09:21:20
2554ba78,2025-06-04T17:24:09
v1.2.1,2025-06-09T11:13:09
v1.2.3,2025-06-13T09:06:49
v1.3.0,2025-06-20T15:04:41
dbec68fd,2025-07-01T10:37:12
v1.3.1,2025-07-07T12:46:08
v1.3.2,2025-07-14T08:06:29
v1.3.3,2025-07-17T08:33:00
v1.3.4,2025-07-23T14:42:24
v1.3.5,2025-07-24T09:33:30
v1.3.6,2025-07-31T10:01:16
4599c8a3,2025-08-01T11:23:12
9184d873,2025-08-04T11:57:04
v1.3.7,2025-08-08T10:35:27
v1.3.8,2025-08-13T22:41:35
v1.3.9,2025-08-27T11:00:14
5eb5aacb,2025-09-01T11:18:34
v1.3.10,2025-09-01T14:28:38
v1.3.11,2025-09-03T11:58:48
v1.4.1,2025-09-11T11:10:55
v1.4.2,2025-09-17T10:19:57
f8303f18,2025-10-01T10:00:19
a2160ea8,2025-10-01T10:48:41
v1.4.3,2025-10-01T11:48:38
v1.4.4,2025-10-01T13:30:39
10a68996,2025-10-05T08:22:33
f3db1937,2025-10-06T16:32:38
v1.4.5,2025-10-08T11:49:35
v1.4.6,2025-10-16T13:22:57
v1.4.7,2025-10-23T09:59:57
v1.4.8,2025-10-29T13:44:19
v1.4.9,2025-10-29T14:09:51
v1.4.10,2025-11-05T12:21:28
128b406,2025-11-07T11:37:36
v1.4.13,2025-11-13T09:48:46
v1.4.15,2025-11-20T11:26:46
9c268d3,2025-11-24T15:19:02
v1.4.16,2025-11-26T15:45:19
51369b2,2025-11-27T13:13:58
v1.4.17,2025-12-03T12:14:19
v1.4.18,2025-12-10T11:42:30
v1.5.0,2025-12-16T10:45:43
v1.6.0,2026-01-07T15:20:02
v1.6.1,2026-01-14T14:38:33
v1.6.2,2026-01-21T10:10:03
v1.6.3,2026-01-23T09:18:28
v1.6.4,2026-01-28T16:18:35
v1.6.5,2026-01-29T10:29:17
v1.7.0,2026-02-04T15:08:05
v1.7.2,2026-02-11T12:23:07
v1.8.0,2026-02-19T07:18:50
